SampleName,Location,ColonyID,#mapped,#unmapped,%mapped,denom,depth
AHAS53_S31_allchrs_DoC.sample_summary:AHAS53_S31,Ofu,,137799203,150604432,47.77998134,,25.7
AHAS54-1_S46_allchrs_DoC.sample_summary:AHAS54-1_S46,Ofu,,90928156,126374758,41.84396533,,19.61
AHAS54-2_S70_allchrs_DoC.sample_summary:AHAS54-2_S70,Ofu,,152879761,203985417,42.83964097,,31.74
AHAS55_S47_allchrs_DoC.sample_summary:AHAS55_S47,Ofu,,120510069,168715201,41.66650756,,26.12
AHAS56_S32_allchrs_DoC.sample_summary:AHAS56_S32,Ofu,,11987928,13914983,46.28023468,,2.72
AHAS57-1_S53_allchrs_DoC.sample_summary:AHAS57-1_S53,Ofu,,76182889,177784062,29.99716644,,15.67
AHAS57-2_S77_allchrs_DoC.sample_summary:AHAS57-2_S77,Ofu,,91628756,217821947,29.61013018,,19.62
AHAS58_S33_allchrs_DoC.sample_summary:AHAS58_S33,Ofu,,121638004,166923070,42.15329612,,26.95
AHAS59-1_S23_allchrs_DoC.sample_summary:AHAS59-1_S23,Ofu,,48859937,339710492,12.57428084,,10.52
AHAS59-2_S78_allchrs_DoC.sample_summary:AHAS59-2_S78,Ofu,,35028700,237565724,12.85011611,,7.72
AHAS60_S34_allchrs_DoC.sample_summary:AHAS60_S34,Ofu,,108888175,210501603,34.0925673,,23.26
AHAS61_S48_allchrs_DoC.sample_summary:AHAS61_S48,Ofu,,128765508,162172206,44.25878867,,27.11
AHAS62-1_S58_allchrs_DoC.sample_summary:AHAS62-1_S58,Ofu,,137778148,113166060,54.90389641,,31.52
AHAS62-2_S83_allchrs_DoC.sample_summary:AHAS62-2_S83,Ofu,,137933992,114506145,54.64027775,,31.41
AHAS63_S59_allchrs_DoC.sample_summary:AHAS63_S59,Ofu,,98390419,149798374,39.64337705,,19.84
AHAS64-1_S60_allchrs_DoC.sample_summary:AHAS64-1_S60,Ofu,,89672308,156318460,36.45352577,,20.11
AHAS64-2_S84_allchrs_DoC.sample_summary:AHAS64-2_S84,Ofu,,93319248,160898036,36.70845921,,21.15
AHAS65_S14_allchrs_DoC.sample_summary:AHAS65_S14,Ofu,,92498302,135961753,40.48773515,,21.01
AHP01-1_S11_allchrs_DoC.sample_summary:AHP01-1_S11,Palau,,229486137,150597849,60.37774425,,52.85
AHP01-2_S27_allchrs_DoC.sample_summary:AHP01-2_S27,Palau,,232002263,152548703,60.33069307,,53.32
